,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,ANO_MES,SEASON,HPoints,APoints,HScoredGSum,HConseivedGSum,AScoredGSum,AConseivedGSum
0,I1,2018-12-05,Benevento,Genoa,1.0,0.0,H,14.0,13.0,3.0,5.0,17.0,7.0,6.0,3.0,1.0,1.0,0.0,0.0,2018/12,2018/2019,3.0,0.0,17.0,20.0,10.0,15.0
1,I1,2018-12-05,Inter,Sassuolo,1.0,2.0,A,16.0,13.0,8.0,5.0,9.0,5.0,16.0,2.0,1.0,2.0,0.0,0.0,2018/12,2018/2019,0.0,3.0,18.0,8.0,9.0,14.0
2,I1,2018-11-26,Cagliari,Torino,0.0,0.0,D,3.0,8.0,1.0,5.0,12.0,13.0,3.0,4.0,2.0,0.0,0.0,0.0,2018/11,2018/2019,1.0,1.0,10.0,8.0,11.0,13.0
3,I1,2018-11-25,Genoa,Sampdoria,1.0,1.0,D,10.0,6.0,5.0,2.0,17.0,15.0,7.0,6.0,2.0,1.0,0.0,0.0,2018/11,2018/2019,1.0,1.0,13.0,14.0,13.0,19.0
4,I1,2018-11-25,Parma,Sassuolo,2.0,1.0,H,10.0,12.0,4.0,5.0,14.0,14.0,2.0,3.0,3.0,4.0,0.0,0.0,2018/11,2018/2019,3.0,0.0,10.0,9.0,10.0,12.0
5,I1,2018-11-25,Napoli,Chievo,0.0,0.0,D,17.0,7.0,10.0,3.0,11.0,13.0,20.0,2.0,2.0,2.0,0.0,0.0,2018/11,2018/2019,1.0,1.0,22.0,8.0,9.0,23.0
6,I1,2018-11-25,Lazio,Milan,1.0,1.0,D,16.0,9.0,6.0,4.0,10.0,4.0,9.0,4.0,1.0,1.0,0.0,0.0,2018/11,2018/2019,1.0,1.0,18.0,13.0,17.0,10.0
7,I1,2018-11-25,Bologna,Fiorentina,0.0,0.0,D,8.0,11.0,4.0,6.0,11.0,21.0,4.0,9.0,3.0,1.0,0.0,0.0,2018/11,2018/2019,1.0,1.0,12.0,13.0,10.0,15.0
8,I1,2018-11-25,Empoli,Atalanta,3.0,2.0,H,12.0,8.0,8.0,5.0,12.0,9.0,7.0,3.0,2.0,2.0,0.0,1.0,2018/11,2018/2019,3.0,0.0,11.0,10.0,16.0,14.0
9,I1,2018-11-24,Inter,Frosinone,3.0,0.0,H,25.0,5.0,14.0,4.0,11.0,11.0,11.0,0.0,1.0,3.0,0.0,0.0,2018/11,2018/2019,3.0,0.0,18.0,8.0,10.0,24.0
10,I1,2018-11-24,Juventus,Spal,2.0,0.0,H,12.0,8.0,8.0,1.0,20.0,11.0,6.0,3.0,1.0,3.0,0.0,0.0,2018/11,2018/2019,3.0,0.0,20.0,6.0,10.0,14.0
11,I1,2018-11-24,Udinese,Roma,1.0,0.0,H,8.0,23.0,3.0,9.0,6.0,10.0,0.0,12.0,2.0,0.0,0.0,0.0,2018/11,2018/2019,3.0,0.0,6.0,17.0,11.0,5.0
12,I1,2018-11-11,Sassuolo,Lazio,1.0,1.0,D,9.0,7.0,4.0,3.0,15.0,21.0,2.0,6.0,4.0,3.0,0.0,0.0,2018/11,2018/2019,1.0,1.0,12.0,11.0,18.0,17.0
13,I1,2018-11-11,Atalanta,Inter,4.0,1.0,H,16.0,6.0,10.0,2.0,11.0,13.0,9.0,6.0,3.0,5.0,0.0,1.0,2018/11,2018/2019,3.0,0.0,16.0,4.0,16.0,7.0
14,I1,2018-11-11,Empoli,Udinese,2.0,1.0,H,9.0,22.0,5.0,9.0,6.0,11.0,4.0,13.0,2.0,2.0,0.0,0.0,2018/11,2018/2019,3.0,0.0,9.0,11.0,14.0,18.0
