timestamp,date_GMT,status,attendance,home_team_name,away_team_name,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1517349600,Jan 30 2018 - 10:00pm,complete,1399,Vitória da Conquista,Boa,0.00,0.00,1.00,1.00,0,0,0,0,0,0,"","",1,8,1,0,4,0,13,7,3,4,10,3,-1,-1,52,48,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,Estádio Lomanto Júnior (Vitória da Conquista- Bahia)
1517355000,Jan 30 2018 - 11:30pm,complete,2563,Caxias,Atlético PR,0.00,0.00,1.00,1.00,0,0,0,0,0,0,"","",7,4,1,0,2,0,18,10,5,5,13,5,13,14,47,53,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,Estádio Francisco Stédile (Caxias do Sul- Rio Grande do Sul)
1517421600,Jan 31 2018 - 6:00pm,complete,999,Nova Iguaçu,Bragantino,0.00,0.00,1.00,0.50,1,1,2,1,1,0,"45'4","86",9,6,0,0,5,0,11,7,2,2,9,5,17,15,47,53,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,Estádio Jânio de Moraes (Nova Iguaçu- Rio de Janeiro)
1517434200,Jan 31 2018 - 9:30pm,complete,5045,Boavista,Internacional,0.00,0.00,1.00,1.75,1,1,2,0,0,0,"89","58",0,4,2,0,1,0,10,17,4,5,6,12,-1,-1,49,51,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,Estádio Olímpico Regional Arnaldo Busatto (Cascavel- Paraná)
1517434200,Jan 31 2018 - 9:30pm,complete,1935,Caldense,Fluminense,0.00,0.00,0.00,1.50,0,1,1,0,0,0,"","90",3,8,3,0,3,0,14,18,4,7,10,11,16,14,50,50,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,Estádio Dr. Ronaldo Junqueira (Poços de Caldas- Minas Gerais)
1517436000,Jan 31 2018 - 10:00pm,complete,2341,Atlético Tubarão,América RN,0.00,0.00,3.00,0.00,2,0,2,2,2,0,"26,30","",2,4,2,0,4,0,10,8,6,3,4,5,16,17,43,57,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,Estádio Domingos Silveira Gonzales (Tubarão- Santa Catarina)
1517436000,Jan 31 2018 - 10:00pm,complete,1669,Aimoré,Cuiabá,0.00,0.00,0.00,1.50,1,2,3,1,1,0,"23","74,90'5",7,3,5,0,4,0,7,6,2,4,5,2,22,21,51,49,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,Estádio João Corrêa da Silveira (São Leopoldo- Rio Grande do Sul)
1517437800,Jan 31 2018 - 10:30pm,complete,5825,Uberlândia,Ituano,0.00,0.00,1.50,0.00,2,0,2,0,0,0,"59,80","",6,5,0,0,1,0,9,5,5,3,4,2,-1,-1,52,48,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,Estádio Municipal João Havelange (Uberlândia- Minas Gerais)
1517441400,Jan 31 2018 - 11:30pm,complete,N/A,Novoperário,Salgueiro,0.00,0.00,0.00,1.50,2,3,5,3,1,2,"43,62","10,32,87",-1,-1,3,0,6,0,-2,-2,-1,-1,-1,-1,-1,-1,53,47,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,Estádio Universitário Pedro Pedrossian (Campo Grande- Mato Grosso do Sul)
1517441400,Jan 31 2018 - 11:30pm,complete,1030,Interporto,Juventude,0.00,0.00,1.00,1.00,0,0,0,0,0,0,"","",-1,-1,2,0,2,0,-2,-2,-1,-1,-1,-1,-1,-1,53,47,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,Estádio General Sampaio (Porto Nacional- Tocantins)
