timestamp,date_GMT,status,attendance,home_team_name,away_team_name,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1431207000,May 9 2015 - 9:30pm,complete,28781,Palmeiras,Atlético Mineiro,0.00,0.00,1.63,1.47,2,2,4,0,0,0,"82,90'5","51,86",11,2,2,0,4,0,16,10,8,4,8,6,17,15,47,53,0.00,0,0,0,0,0,0,0,0.00,0.00,1.74,3.64,5.58,0,0,0,0,0,0,Allianz Parque (São Paulo- São Paulo)
1431207000,May 9 2015 - 9:30pm,complete,5688,Chapecoense,Coritiba,0.00,0.00,1.68,0.95,2,1,3,2,1,1,"30,66","3",3,5,2,0,2,0,9,8,4,2,5,6,18,21,49,51,0.00,0,0,0,0,0,0,0,0.00,0.00,2.15,3.31,3.8,0,0,0,0,0,0,Arena Condá (Chapecó- Santa Catarina)
1431216000,May 10 2015 - 12:00am,complete,21803,Fluminense,Joinville,0.00,0.00,1.74,0.32,1,0,1,0,0,0,"88","",5,3,2,0,1,1,24,3,12,0,12,3,8,12,68,32,0.00,0,0,0,0,0,0,0,0.00,0.00,1.57,4.04,6.9,0,0,0,0,0,0,Estadio Jornalista Mário Filho (Maracanã) (Rio de Janeiro- Rio de Janeiro)
1431266400,May 10 2015 - 2:00pm,complete,11920,Grêmio,Ponte Preta,0.00,0.00,2.37,1.05,3,3,6,1,1,0,"25,54,78","62,64,90'4",5,10,3,0,5,1,6,4,3,4,3,0,16,19,51,49,0.00,0,0,0,0,0,0,0,0.00,0.00,1.59,3.89,6.98,0,0,0,0,0,0,Arena do Grêmio (Porto Alegre- Rio Grande do Sul)
1431284400,May 10 2015 - 7:00pm,complete,8975,Cruzeiro,Corinthians,0.00,0.00,1.89,1.63,0,1,1,0,0,0,"","82",2,4,3,0,1,0,13,6,4,2,9,4,16,15,56,44,0.00,0,0,0,0,0,0,0,0.00,0.00,2.56,3.23,3.03,0,0,0,0,0,0,Arena Pantanal (Cuiabá- Mato Grosso)
1431284400,May 10 2015 - 7:00pm,complete,4116,Sport Recife,Figueirense,0.00,0.00,2.32,0.84,4,1,5,1,1,0,"20,64,78,88","68",7,1,1,0,3,1,11,6,8,3,3,3,17,12,54,46,0.00,0,0,0,0,0,0,0,0.00,0.00,2.06,3.38,4.02,0,0,0,0,0,0,Estádio Adelmar da Costa Carvalho (Recife- Pernambuco)
1431284400,May 10 2015 - 7:00pm,complete,13656,São Paulo,Flamengo,0.00,0.00,2.21,1.16,2,1,3,0,0,0,"74,80","86",4,6,2,0,1,0,7,4,2,2,5,2,17,13,50,50,0.00,0,0,0,0,0,0,0,0.00,0.00,2.12,3.46,3.71,0,0,0,0,0,0,Estádio Cícero Pompeu de Toledo (Morumbi) (São Paulo- São Paulo)
1431284400,May 10 2015 - 7:00pm,complete,10499,Atlético PR,Internacional,0.00,0.00,1.74,0.79,3,0,3,1,1,0,"14,66,69","",2,11,1,0,2,0,6,12,3,5,3,7,17,17,46,54,0.00,0,0,0,0,0,0,0,0.00,0.00,2.17,3.3,3.75,0,0,0,0,0,0,Estádio Joaquim Américo Guimarães (Curitiba- Paraná)
1431293400,May 10 2015 - 9:30pm,complete,7677,Avaí,Santos,0.00,0.00,1.53,0.53,1,1,2,1,0,1,"64","27",4,3,2,0,2,1,13,8,4,3,9,5,10,11,43,57,0.00,0,0,0,0,0,0,0,0.00,0.00,3.54,3.36,2.22,0,0,0,0,0,0,Estádio Aderbal Ramos da Silva (Florianópolis- Santa Catarina)
1431293400,May 10 2015 - 9:30pm,complete,7424,Vasco da Gama,Goiás,0.00,0.00,1.11,0.68,0,0,0,0,0,0,"","",4,2,3,0,5,0,10,4,4,4,6,0,15,27,60,40,0.00,0,0,0,0,0,0,0,0.00,0.00,1.81,3.53,5.16,0,0,0,0,0,0,Estádio Club de Regatas Vasco da Gama (Rio de Janeiro- Rio de Janeiro)
1431811800,May 16 2015 - 9:30pm,complete,11785,Coritiba,Grêmio,0.00,0.00,1.37,1.21,2,0,2,2,2,0,"27,34","",2,4,2,0,3,0,6,11,2,8,4,3,23,13,42,58,0.00,0,0,0,0,0,0,0,0.00,0.00,2.57,3.12,3.12,0,0,0,0,0,0,Estádio Major Antônio Couto Pereira (Curitiba- Paraná)
1431811800,May 16 2015 - 9:30pm,complete,N/A,Goiás,Atlético PR,0.00,0.00,1.32,0.95,2,0,2,0,0,0,"55,81","",6,5,2,0,1,1,11,8,5,3,6,5,13,18,41,59,0.00,0,0,0,0,0,0,0,0.00,0.00,2.52,3.15,3.16,0,0,0,0,0,0,Estádio do Governo do Estado de Goiás (Serra Dourada) (Goiânia- Goiás)
1431820800,May 17 2015 - 12:00am,complete,10144,Corinthians,Chapecoense,0.00,0.00,2.63,0.79,1,0,1,1,1,0,"28","",7,2,2,0,4,0,7,8,3,5,4,3,16,13,51,49,0.00,0,0,0,0,0,0,0,0.00,0.00,1.46,4.22,9.22,0,0,0,0,0,0,Estádio Municipal Dr. Adhemar de Barros (Araraquara- São Paulo)
1431871200,May 17 2015 - 2:00pm,complete,11004,Figueirense,Vasco da Gama,0.00,0.00,1.42,1.05,0,0,0,0,0,0,"","",6,7,2,0,6,0,10,10,5,5,5,5,15,12,46,54,0.00,0,0,0,0,0,0,0,0.00,0.00,2.84,3.18,2.75,0,0,0,0,0,0,Estádio Orlando Scarpelli (Florianópolis- Santa Catarina)
1431889200,May 17 2015 - 7:00pm,complete,7246,Santos,Cruzeiro,0.00,0.00,2.53,1.00,1,0,1,1,1,0,"45","",15,3,1,0,4,0,16,7,6,3,10,4,18,13,45,55,0.00,0,0,0,0,0,0,0,0.00,0.00,2.07,3.34,4.03,0,0,0,0,0,0,Estádio Urbano Caldeira (Santos- São Paulo)
1431889200,May 17 2015 - 7:00pm,complete,34459,Flamengo,Sport Recife,0.00,0.00,1.42,0.79,2,2,4,1,0,1,"74,90'6","45'2,69",13,3,2,0,3,0,15,11,7,4,8,7,8,7,54,46,0.00,0,0,0,0,0,0,0,0.00,0.00,1.63,3.87,6.38,0,0,0,0,0,0,Estadio Jornalista Mário Filho (Maracanã) (Rio de Janeiro- Rio de Janeiro)
1431889200,May 17 2015 - 7:00pm,complete,11958,Atlético Mineiro,Fluminense,0.00,0.00,2.16,0.74,4,1,5,2,2,0,"7,37,53,81","89",7,0,2,0,1,0,9,4,5,2,4,2,15,10,50,50,0.00,0,0,0,0,0,0,0,0.00,0.00,2.63,3.17,2.99,0,0,0,0,0,0,Estádio Nacional de Brasília (Brasília- Distrito Federal)
1431898200,May 17 2015 - 9:30pm,complete,N/A,Ponte Preta,São Paulo,0.00,0.00,1.63,1.05,1,0,1,1,1,0,"14","",6,4,1,0,3,0,12,9,6,3,6,6,14,14,40,60,0.00,0,0,0,0,0,0,0,0.00,0.00,3.12,3.21,2.51,0,0,0,0,0,0,Estádio Moisés Lucarelli (Campinas- São Paulo)
1431898200,May 17 2015 - 9:30pm,complete,13009,Internacional,Avaí,0.00,0.00,2.37,0.68,1,0,1,0,0,0,"63","",4,9,3,0,7,0,8,5,2,3,6,2,18,28,55,45,0.00,0,0,0,0,0,0,0,0.00,0.00,1.47,4.37,8.4,0,0,0,0,0,0,Estádio José Pinheiro Borda (Porto Alegre- Rio Grande do Sul)
1431898200,May 17 2015 - 9:30pm,complete,N/A,Joinville,Palmeiras,0.00,0.00,1.32,1.16,0,0,0,0,0,0,"","",1,5,3,0,1,0,5,10,3,3,2,7,17,12,40,60,0.00,0,0,0,0,0,0,0,0.00,0.00,3.31,3.23,2.39,0,0,0,0,0,0,Arena Joinville (Joinville- Santa Catarina)
1432416600,May 23 2015 - 9:30pm,complete,12690,São Paulo,Joinville,3.00,0.00,2.21,0.32,3,0,3,1,1,0,"11,58,86","",5,0,2,0,0,0,13,5,6,2,7,3,12,10,56,44,2.00,50,50,50,0,0,0,0,7.00,4.00,1.46,4.32,8.86,0,0,0,0,0,0,Estádio Cícero Pompeu de Toledo (Morumbi) (São Paulo- São Paulo)
1432416600,May 23 2015 - 9:30pm,complete,5143,Vasco da Gama,Internacional,1.00,0.00,1.11,0.79,1,1,2,1,0,1,"81","45'1",8,1,6,0,3,1,14,6,7,0,7,6,13,14,60,40,1.50,0,50,50,0,0,0,50,15.00,5.00,1.85,3.49,4.96,0,0,0,0,0,0,Estádio Club de Regatas Vasco da Gama (Rio de Janeiro- Rio de Janeiro)
1432425600,May 24 2015 - 12:00am,complete,8336,Grêmio,Figueirense,1.00,0.00,2.37,0.84,1,0,1,0,0,0,"78","",11,4,6,0,5,0,6,3,4,3,2,0,15,25,61,39,5.50,100,100,100,100,100,0,100,6.00,7.00,1.52,4.06,7.97,0,0,0,0,0,0,Arena do Grêmio (Porto Alegre- Rio Grande do Sul)
1432476000,May 24 2015 - 2:00pm,complete,37337,Palmeiras,Goiás,1.00,1.00,1.63,0.68,0,1,1,0,0,0,"","76",13,6,6,1,5,1,16,6,12,5,4,1,13,24,64,36,2.00,50,50,50,50,0,0,0,13.00,7.00,1.52,4.01,8.16,0,0,0,0,0,0,Allianz Parque (São Paulo- São Paulo)
1432494000,May 24 2015 - 7:00pm,complete,17419,Fluminense,Corinthians,3.00,3.00,1.74,1.63,0,0,0,0,0,0,"","",9,6,2,0,2,0,10,7,6,4,4,3,17,5,43,57,1.00,0,0,0,0,0,0,0,9.00,3.00,2.51,3.19,3.14,0,0,0,0,0,0,Estadio Jornalista Mário Filho (Maracanã) (Rio de Janeiro- Rio de Janeiro)
1432494000,May 24 2015 - 7:00pm,complete,11868,Avaí,Flamengo,1.00,0.00,1.53,1.16,2,1,3,0,0,0,"47,62","51",4,2,5,0,6,0,7,5,4,2,3,3,13,15,41,59,2.50,100,100,50,0,0,0,50,10.00,3.00,2.51,3.23,3.1,0,0,0,0,0,0,Estádio Aderbal Ramos da Silva (Florianópolis- Santa Catarina)
1432494000,May 24 2015 - 7:00pm,complete,13510,Atlético PR,Atlético Mineiro,3.00,1.00,1.74,1.47,1,0,1,1,1,0,"40","",2,9,4,1,0,0,9,18,6,6,3,12,7,8,37,63,3.50,50,100,100,50,0,0,50,4.00,5.00,2.79,3.32,2.7,0,0,0,0,0,0,Estádio Joaquim Américo Guimarães (Curitiba- Paraná)
1432494000,May 24 2015 - 7:00pm,complete,6374,Chapecoense,Santos,3.00,1.00,1.68,0.53,1,0,1,1,1,0,"21","",4,5,5,0,6,0,10,13,4,6,6,7,13,18,43,57,2.50,100,100,50,0,0,50,100,6.00,5.00,2.7,3.24,2.85,0,0,0,0,0,0,Arena Condá (Chapecó- Santa Catarina)
1432503000,May 24 2015 - 9:30pm,complete,9639,Cruzeiro,Ponte Preta,0.00,1.00,1.89,1.05,1,1,2,0,0,0,"82","85",16,3,2,0,2,0,14,14,5,5,9,9,16,12,62,38,3.50,50,50,50,50,50,0,50,12.00,9.00,1.95,3.52,4.28,0,0,0,0,0,0,Estádio Governador Magalhães Pinto (Belo Horizonte- Minas Gerais)
1432503000,May 24 2015 - 9:30pm,complete,12119,Sport Recife,Coritiba,3.00,0.00,2.32,0.95,1,0,1,1,1,0,"29","",2,5,1,0,4,0,9,7,2,3,7,4,14,17,54,46,4.00,100,100,100,50,50,50,100,12.00,3.00,1.98,3.36,4.39,0,0,0,0,0,0,Estádio Adelmar da Costa Carvalho (Recife- Pernambuco)
1433021400,May 30 2015 - 9:30pm,complete,9906,Coritiba,Avaí,3.00,0.00,1.37,0.68,1,2,3,1,0,1,"50","1,79",5,3,4,0,4,0,9,10,4,6,5,4,17,21,54,46,1.50,0,50,0,0,0,50,50,11.00,9.00,1.77,3.54,5.45,0,0,0,0,0,0,Estádio Major Antônio Couto Pereira (Curitiba- Paraná)
1433021400,May 30 2015 - 9:30pm,complete,N/A,Ponte Preta,Chapecoense,3.00,0.00,1.63,0.79,3,1,4,1,1,0,"6,48,90'3","89",0,4,4,0,2,1,12,8,5,4,7,4,17,15,50,50,1.00,0,0,0,0,0,0,100,8.00,5.00,1.9,3.45,4.68,0,0,0,0,0,0,Estádio Moisés Lucarelli (Campinas- São Paulo)
1433030400,May 31 2015 - 12:00am,complete,9144,Joinville,Atlético PR,1.00,0.00,1.32,0.95,1,2,3,2,0,2,"65","30,33",4,7,0,0,4,0,7,9,3,5,4,4,12,13,53,47,1.00,0,50,0,0,0,0,0,6.00,6.00,2.41,3.27,3.23,0,0,0,0,0,0,Arena Joinville (Joinville- Santa Catarina)
